"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.05691 0.6871 0.8084
0.05700 0.6852 0.8103
0.05710 0.6846 0.8103
0.05719 0.6858 0.8084
0.05729 0.6858 0.8084
0.05738 0.6852 0.8103
0.05748 0.6858 0.8096
0.05757 0.6852 0.8097
0.05767 0.6858 0.8084
0.05776 0.6871 0.8103
0.05785 0.6846 0.8084
0.05795 0.6859 0.8103
0.05804 0.6852 0.8096
0.05814 0.6858 0.8090
0.05823 0.6859 0.8097
0.05833 0.6865 0.8090
0.05842 0.6846 0.8097
0.05851 0.6858 0.8096
0.05861 0.6859 0.8084
0.05870 0.6865 0.8103
0.05880 0.6846 0.8090
0.05889 0.6852 0.8084
0.05899 0.6871 0.8109
0.05908 0.6859 0.8090
0.05918 0.6846 0.8096
0.05927 0.6859 0.8090
0.05936 0.6865 0.8084
0.05946 0.6846 0.8109
0.05955 0.6858 0.8103
0.05965 0.6852 0.8084
0.05974 0.6871 0.8090
0.05984 0.6846 0.8096
0.05993 0.6852 0.8103
0.06002 0.6871 0.8084
0.06012 0.6846 0.8103
0.06021 0.6858 0.8084
0.06031 0.6865 0.8097
0.06040 0.6846 0.8096
0.06050 0.6859 0.8103
0.06059 0.6858 0.8084
0.06069 0.6852 0.8084
0.06078 0.6871 0.8103
0.06087 0.6846 0.8096
0.06097 0.6852 0.8090
0.06106 0.6858 0.8084
0.06116 0.6859 0.8103
0.06125 0.6858 0.8109
0.06135 0.6865 0.8090
0.06144 0.6846 0.8084
0.06153 0.6858 0.8096
0.06163 0.6865 0.8103
0.06172 0.6846 0.8096
0.06182 0.6871 0.8071
0.06191 0.6846 0.8103
0.06201 0.6852 0.8097
0.06210 0.6858 0.8090
0.06220 0.6859 0.8084
0.06229 0.6852 0.8109
0.06238 0.6858 0.8103
0.06248 0.6859 0.8084
0.06257 0.6859 0.8090
0.06267 0.6865 0.8096
0.06276 0.6846 0.8103
0.06286 0.6871 0.8084
0.06295 0.6852 0.8103
0.06304 0.6846 0.8083
0.06314 0.6859 0.8097
0.06323 0.6859 0.8097
0.06333 0.6852 0.8090
0.06342 0.6859 0.8097
0.06352 0.6871 0.8084
0.06361 0.6859 0.8103
0.06371 0.6852 0.8096
0.06380 0.6846 0.8103
0.06389 0.6859 0.8084
0.06399 0.6865 0.8090
0.06408 0.6846 0.8097
0.06418 0.6859 0.8103
0.06427 0.6865 0.8084
0.06437 0.6858 0.8096
0.06446 0.6846 0.8090
0.06455 0.6859 0.8109
0.06465 0.6865 0.8090
0.06474 0.6858 0.8083
0.06484 0.6846 0.8097
0.06493 0.6871 0.8090
0.06503 0.6852 0.8096
0.06512 0.6846 0.8097
0.06522 0.6859 0.8090
0.06531 0.6865 0.8097
0.06540 0.6858 0.8090
0.06550 0.6846 0.8097
0.06559 0.6852 0.8097
0.06569 0.6871 0.8090
0.06578 0.6859 0.8097
0.06588 0.6846 0.8103
0.06597 0.6871 0.8084
0.06607 0.6839 0.8083
0.06616 0.6859 0.8116
0.06625 0.6865 0.8090
0.06635 0.6846 0.8078
0.06644 0.6871 0.8102
0.06654 0.6846 0.8097
0.06663 0.6852 0.8103
0.06673 0.6871 0.8071
0.06682 0.6846 0.8103
0.06691 0.6865 0.8109
0.06701 0.6859 0.8090
0.06710 0.6846 0.8083
0.06720 0.6871 0.8097
0.06729 0.6852 0.8090
0.06739 0.6858 0.8109
0.06748 0.6859 0.8090
0.06758 0.6852 0.8084
0.06767 0.6846 0.8103
0.06776 0.6871 0.8083
0.06786 0.6846 0.8097
0.06795 0.6852 0.8097
0.06805 0.6871 0.8103
0.06814 0.6846 0.8083
0.06824 0.6871 0.8090
0.06833 0.6852 0.8109
0.06842 0.6846 0.8083
0.06852 0.6859 0.8090
0.06861 0.6865 0.8097
0.06871 0.6846 0.8090
0.06880 0.6871 0.8096
0.06890 0.6852 0.8097
0.06899 0.6846 0.8090
0.06909 0.6858 0.8096
0.06918 0.6859 0.8090
0.06927 0.6871 0.8097
0.06937 0.6852 0.8097
0.06946 0.6846 0.8102
0.06956 0.6865 0.8090
0.06965 0.6859 0.8084
0.06975 0.6846 0.8097
0.06984 0.6871 0.8102
0.06993 0.6852 0.8084
0.07003 0.6846 0.8097
0.07012 0.6858 0.8090
